"Отметка времени","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Английский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Немецкий ]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Французский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Казахский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Русский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Другой]","Здесь можете написать свой язык которого нет в списке, укажите его уровень в предыдущем опросе","Какие ИИ-инструменты вы использовали для изучения языков? (Можно выбрать несколько)  ","Как часто вы используете ИИ-ассистентов в изучении языков?  ","Какие аспекты изучения языка вам помог улучшить ИИ? (Можно выбрать несколько)  ","Какую пользу ИИ приносит в вашем изучении языка?  ","Насколько эффективны ИИ-ассистенты по сравнению с традиционными методами (учебники, репетиторы, курсы)?  ","Какие у вас есть трудности при использовании ИИ-ассистентов?  ","Доверяете ли вы информации, предоставляемой ИИ-ассистентами?  ","Используете ли вы ИИ-ассистентов для подготовки к экзаменам или тестам по языкам?  ","Порекомендовали бы вы ИИ-ассистентов для изучения языков другим?  "
"2025/03/29 12:54:08 PM GMT+5","C1","","","","","","","ChatGPT","Несколько раз в неделю","Грамматика;Лексика","Улучшает понимание грамматики;Помогает исправлять ошибки","Сопоставимо","Некорректные ответы","Чаще да, чем нет","Иногда","Скорее да"
"2025/03/29 12:55:09 PM GMT+5","C1","A1","","C1","C1","","","ChatGPT","Редко","Грамматика;Навыки письма","Обогащает словарный запас;Помогает исправлять ошибки","Скорее менее эффективно","Некорректные ответы","Чаще да, чем нет","Никогда","Не знаю"
"2025/03/29 1:00:36 PM GMT+5","A2","A1","A1","C2","B2","","","ChatGPT","Несколько раз в неделю","Грамматика;Лексика;Навыки письма","Улучшает понимание грамматики;Помогает исправлять ошибки","Гораздо эффективне","Ограниченный словарный запас ИИ","Чаще да, чем нет","Да, регулярно","Да"
"2025/03/29 1:06:12 PM GMT+5","A2","A1","","","B2","","","ChatGPT;Duolingo","Ежедневно","Грамматика;Лексика;Навыки письма;Разговорная речь","Улучшает понимание грамматики;Обогащает словарный запас;Помогает исправлять ошибки","Сопоставимо","Чрезмерная зависимость от ИИ","50/50","Никогда","Не знаю"
"2025/03/29 1:22:54 PM GMT+5","","","","","","A2","Корейский ","ChatGPT","Редко","Грамматика","Улучшает понимание грамматики","Скорее менее эффективно","Некорректные ответы;Он знает все на базовом уровне дальше уже не помощник","50/50","Иногда","Не знаю"
"2025/03/29 1:37:03 PM GMT+5","A2","","","","B2","","","ChatGPT;Duolingo;Grammarly","Несколько раз в неделю","Грамматика;Навыки письма","Улучшает понимание грамматики;Помогает исправлять ошибки","Сопоставимо","Проблемы с пониманием контекста","50/50","Иногда","Скорее да"
"2025/03/29 2:38:13 PM GMT+5","B2","","","C2","C1","","","ChatGPT","Редко","Грамматика","Улучшает понимание грамматики;Обогащает словарный запас;Помогает исправлять ошибки","Скорее менее эффективно","Некорректные ответы;Чрезмерная зависимость от ИИ","Чаще да, чем нет","Да, регулярно","Да"
"2025/03/29 2:58:47 PM GMT+5","C1","","","C1","C1","C1","","ChatGPT;Duolingo;Grammarly","Несколько раз в неделю","Грамматика;Лексика","Улучшает понимание грамматики","Скорее эффективнее","Некорректные ответы;Проблемы с пониманием контекста","Чаще да, чем нет","Да, регулярно","Скорее да"
"2025/03/29 3:00:17 PM GMT+5","B1","","","","","","","ChatGPT","Ежедневно","Разговорная речь","Помогает исправлять ошибки","Скорее эффективнее","Некорректные ответы","50/50","Иногда","Не знаю"
"2025/03/29 3:04:08 PM GMT+5","B2","A1","A1","B1","C2","A1","","ChatGPT;Duolingo","Несколько раз в месяц","Грамматика;Навыки письма","Улучшает понимание грамматики;Обогащает словарный запас","Скорее эффективнее","Некорректные ответы;Ограниченный словарный запас ИИ;Проблемы с пониманием контекста","Чаще да, чем нет","Иногда","Скорее да"
"2025/03/29 3:17:03 PM GMT+5","B2","","","","","","","ChatGPT","Ежедневно","Грамматика;Лексика","Улучшает понимание грамматики;Обогащает словарный запас;Помогает исправлять ошибки","Скорее эффективнее","Подписка стоит дорого","50/50","Да, регулярно","Скорее да"
"2025/03/29 3:39:53 PM GMT+5","A1","","","B1","","","","ChatGPT;Duolingo","Несколько раз в месяц","Произношение;Разговорная речь","Обогащает словарный запас;Помогает исправлять ошибки","Гораздо эффективне","Чрезмерная зависимость от ИИ","Чаще да, чем нет","Да, регулярно","Скорее да"
"2025/03/29 4:06:33 PM GMT+5","B1","","","C1","B1","","","ChatGPT;Duolingo","Ежедневно","Лексика","Обогащает словарный запас;Позволяет практиковать разговорную речь;Помогает исправлять ошибки","Сопоставимо","Чрезмерная зависимость от ИИ","Всегда","Да, регулярно","Да"
